year,date,confirm_add,confirm,heal,dead
2020,02.25,1,1,0,0
2020,02.26,0,1,0,0
2020,02.27,3,4,0,0
2020,02.28,11,15,0,0
2020,03.01,9,24,0,0
2020,03.02,3,27,0,0
2020,03.03,19,46,2,0
2020,03.04,20,66,3,0
2020,03.05,35,81,3,1
2020,03.06,47,128,3,1
2020,03.07,100,228,3,1
2020,03.08,71,281,3,2
2020,03.09,56,337,3,2
2020,03.10,102,476,3,3
2020,03.11,169,645,3,4
2020,03.12,170,815,4,4
2020,03.13,194,1009,4,7
2020,03.14,130,1139,4,11
2020,03.15,130,1139,4,11
2020,03.16,1081,2220,4,13
2020,03.17,49,2269,4,19
2020,03.18,759,3028,4,21
2020,03.19,860,3888,4,33
2020,03.20,334,4222,4,33
2020,03.21,1891,6113,15,56
2020,03.22,2042,7014,131,80
2020,03.23,1046,8060,131,100
2020,03.24,1057,9117,131,122
2020,03.25,1817,9877,131,122
2020,03.26,1020,10897,131,122
2020,03.27,1264,12161,131,197
2020,03.28,1098,13259,1530,241
2020,03.29,1148,14076,1595,264
2020,03.30,1450,15526,1823,312
2020,03.31,660,16186,1823,395
2020,04.01,951,17137,2967,461
2020,04.02,1130,18267,4013,505
2020,04.03,1036,19303,4846,573
2020,04.04,975,20278,4846,620
2020,04.05,822,21100,6415,685
2020,04.06,552,21652,7298,734
2020,04.07,590,22242,8056,811
2020,04.08,547,22789,8704,858
2020,04.09,823,23612,9900,926
2020,04.10,815,24427,10600,987
2020,04.11,473,24900,11100,1003
2020,04.12,428,25328,12100,1089
2020,04.13,295,25623,12700,1129
2020,04.14,290,25913,13700,1162
2020,04.15,423,26336,14700,1221
2020,04.16,396,26732,15400,1269
2020,04.17,346,27078,15900,1318
2020,04.18,326,27404,16400,1366
2020,04.19,336,27740,17100,1381
2020,04.20,204,27944,17800,1406
2020,04.21,119,28063,18600,1436
2020,04.22,205,28268,19400,1478
2020,04.23,228,28496,19900,1538
2020,04.24,181,28677,20600,1578
2020,04.25,217,28894,21000,1593
2020,04.26,167,29061,21300,1607
2020,04.27,103,29164,21800,1640
2020,04.28,100,29264,22200,1685
2020,04.29,143,29407,22600,1703
2020,04.30,179,29586,23100,1737
2020,05.01,119,29705,23400,1737
2020,05.02,112,29817,23900,1754
2020,05.03,0,29817,24200,1762
2020,05.04,164,29981,24500,1762
2020,05.05,28,30009,25200,1790
2020,05.06,51,30060,25400,1795
2020,05.07,66,30126,25700,1808
2020,05.08,81,30207,25900,1810
2020,05.09,44,30251,26100,1830
2020,05.10,54,30305,26400,1830
2020,05.11,39,30344,26600,1837
2020,05.12,36,30380,26800,1857
2020,05.13,33,30413,26800,1870
2020,05.14,50,30463,27100,1870
2020,05.15,51,30514,27100,1874
2020,05.16,58,30572,27100,1878
2020,05.17,15,30587,27400,1881
2020,05.18,10,30597,27500,1883
2020,05.19,21,30618,27600,1890
2020,05.20,40,30658,27700,1892
2020,05.21,36,30694,27800,1893
2020,05.22,13,30707,27900,1903
2020,05.23,18,30725,27900,1905
2020,05.24,11,30736,28000,1906
2020,05.25,10,30746,28100,1913
2020,05.26,15,30761,28200,1915
2020,05.27,15,30776,28200,1917
2020,05.28,20,30796,28300,1919
2020,05.29,32,30828,28300,1919
2020,05.30,17,30845,28400,1919
2020,05.31,17,30862,28400,1920
2020,06.01,9,30871,28500,1920
2020,06.02,3,30874,28500,1920
2020,06.03,0,30874,28500,1920
2020,06.04,39,30913,28600,1921
2020,06.05,23,30936,28600,1921
2020,06.06,20,30956,28600,1921
2020,06.07,9,30965,28700,1921
2020,06.08,7,30972,28700,1923
2020,06.09,16,30988,28700,1923
2020,06.10,0,30988,28700,1934
2020,06.11,56,31044,28700,1937
2020,06.12,19,31063,28800,1938
2020,06.13,31,31094,28800,1938
2020,06.14,23,31117,28800,1938
2020,06.15,14,31131,28800,1938
2020,06.16,15,31146,28900,1939
2020,06.17,37,31183,28900,1956
2020,06.18,17,31200,28900,1956
2020,06.19,17,31217,28900,1956
2020,06.20,26,31243,28900,1956
2020,06.21,49,31292,29000,1956
